"コード","場所","場所短縮","JVコード"
"00","京都","京","08"
"01","阪神","阪","09"
"02","中京","名","07"
"03","小倉","小","10"
"04","東京","東","05"
"05","中山","中","06"
"06","福島","福","03"
"07","新潟","新","04"
"09","札幌","札","01"
"09","函館","函","02"
"10","大井","(大)","44"
"11","川崎","(川)","45"
"12","船橋","(船)","43"
"13","浦和","(浦)","42"
"14","岩見沢","(岩)","32"
"15","旭川","(旭)","34"
"16","帯広","(帯)","33"
"17","野田","(野)",""
"18","北見","(北)","31"
"19","笠松","(笠)","47"
"20","金沢","(金)","46"
"21","荒尾","(荒)","56"
"22","宇都宮","(宇)","40"
"23","佐賀","(佐)","55"
"24","中津","(中)","57"
"25","高崎","(高)","41"
"26","高知","(高)","54"
"27","足利","(足)","39"
"28","上山","(上)","37"
"29","水沢","(水)","36"
"30","三条","(三)","38"
"31","紀三井寺","(紀)","49"
"32","益田","(益)","52"
"33","盛岡","(盛)","35"
"34","名古屋","(名)","48"
"35","札幌","(札)","01"
"36","函館","(函)","02"
"37","園田","(園)","50"
"38","福山","(福)","53"
"39","姫路","(姫)","51"
"40","中京","(中)","07"
"41","新潟","(新)","04"
"42","門別","(門)","30"
"43","弥富","(弥)",""
"44","小林","(小)",""
"45","西脇","(西)",""
"46","境町","(境)",""
"47","小向","(小)",""
"50","栗東","(栗)",""
"51","美浦","(美)",""
"52","美浦","(美)",""
"53","白井","(白)",""
"54","道営","(道)",""
"55","岩手","(岩)",""
"56","岩見沢","(岩)","32"
"57","旭川","(旭)","34"
"58","帯広","(帯)","33"
"59","北見","(北)","31"
"60","香港","[香]","G0"
"61","アメリカ","[US]","A4"
"62","イギリス","[UK]","A6"
"63","フランス","[FR]","A8"
"64","アイルランド","[IE]","B2"
"65","ＵＡＥ","[AE]","C7"
"66","カナダ","[CA]","B8"
"67","イタリア","[IT]","C0"
"68","ドイツ","[DE]","C2"
"69","オーストラリア","[AU]","B6"
"70","西ドイツ","[DE]","H0"
"71","ニュージーランド","[NZ]","B4"
"72","チリ","[CL]","F2"
"73","アルゼンチン","[AR]","E2"
"74","ブラジル","[BR]","E4"
"75","シンガポール","[SG]","M0"
"76","スウェーデン","[SE]","D0"
"77","スペイン","[ES]","G2"
"78","スイス","[CH]","H4"
"79","ベルギー","[BE]","E6"
"80","マカオ","[MO]","M2"
"81","オーストリア","[AT]","M4"
"82","トルコ","[TR]","E8"
"83","カタール","[QA]","M8"
"85","韓国","[KR]","F0"
"86","ソウル","[서]","F0"
"87","プサン","[釜]","F0"
"88","ペルー","[PE]","E0"
"89","サウジアラビア","[SA]","K6"
"90","兵庫","(兵)",""
"91","栃木","(栃)",""
"92","バーレーン","[BH]",""
"94","南アフリカ","[ZA]",""
"99","北海道","(海)",""
