"コード","条件"
"00000","未受"
"00001","新馬"
"00002","未出走"
"00003","未勝利"
"00004","オープン"
"00005","オープン,牝馬"
"00006","指定馬"
"00007","勝入オープン"
"00008","牝馬"
"00009","オーブン,牝馬,アラブ混合"
"00010","A"
"00011","A1"
"00012","A2"
"00013","A3"
"00014","A4"
"00020","B"
"00021","B1"
"00022","B2"
"00023","B3"
"00024","B4"
"00030","C"
"00031","C1"
"00032","C2"
"00033","C3"
"00034","C4"
"00040","D"
"00041","D1"
"00042","D2"
"00043","D3"
"00044","D4"
"00093","調教試験"
"00094","能力試験"
"-0013","未出"
"-0014","未勝"
"-0015","新馬"
"-0016","オープン"
"-0042","3歳"
"-0043","4歳"
"-0044","能検"
"-0050","未受"
"-0051","G1"
"-0052","G2"
"-0053","G3"
"-0054","G4"
"-0055","G5"
"-0056","5歳"
"-0057","C5"
"-0058","C6"
"-0059","2歳"
"-0060","認初出"
"-0061","認未勝"
"-0062","認定"
"-0063","サラ"
"-0064","E"
"-0065","F"
"01000","100万下"
"02000","200万下"
"03000","300万下"
"04000","400万下"
"05000","1勝C"
"06000","600万下"
"07000","700万下"
"08000","800万下"
"09000","900万下"
"10000","2勝C"
"11000","1100万下"
"12000","1200万下"
"13000","1300万下"
"14000","1400万下"
"15000","1500万下"
"16000","3勝C"
"17000","1700万下"
"18000","1800万下"
"19000","1900万下"
"20000","2000万下"
